base	derivative	probability	sublexicon	[+front]	[+front,+rounded]	[+front,-rounded]	[+front,+high]	[+front,-high]	[+front,+low]	[+front,-low]	[-front]	[-front,+rounded]	[-front,-rounded]	[-front,+high]	[-front,-high]	[+rounded]	[+rounded,+high]	[+rounded,-high]	[-rounded]	[-rounded,+high]	[-rounded,-high]	[-rounded,+low]	[-rounded,-low]	[+high]	[-high]	[-high,-low]	[-low]	[+front]	[+front,+rounded]	[+front,-rounded]	[+front,+high]	[+front,-high]	[+front,+low]	[+front,-low]	[-front]	[-front,+rounded]	[-front,-rounded]	[-front,+high]	[-front,-high]	[+rounded]	[+rounded,+high]	[+rounded,-high]	[-rounded]	[-rounded,+high]	[-rounded,-high]	[-rounded,+low]	[-rounded,-low]	[+high]	[-high]	[-high,-low]	[-low]	F: Ident [front]	F: Ident [rounded]	F: Ident [low]	F: Ident [high]
h a v a s	h a v a s B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	3	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0
k a r m i	k a r m i B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	2	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	0	0	0	0
h e rr a	h e rr a B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	0	1	0	1	0	0	0	2	0	2	1	1	0	2	1	1	1	0	1	0	1	0	1	2	0	1	0	1	0	0	0	2	0	2	1	1	0	2	1	1	0	0	0	0
t u nn e	t u nn e B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	1	0	1	0	1	1	0	1	0	1	0	1	1	1	1	2	1	0	1	0	1	0	1	2	1	0	1	0	1	1	0	1	0	1	0	1	1	1	1	2	0	0	0	0
v aa l i	v aa l i B	1	Insert [B] at -1	1	0	1	1	0	0	1	2	0	2	0	2	0	0	0	3	1	2	2	1	1	2	0	1	1	0	1	1	0	0	1	3	0	2	0	2	0	0	0	3	1	2	2	1	1	2	0	1	0	0	0	0
k oo s t e	k oo s t e B	1	Insert [B] at -1	1	0	1	0	1	0	1	2	2	0	0	2	2	0	2	1	0	1	0	1	0	3	3	3	1	0	1	0	1	0	1	3	2	0	0	2	2	0	2	1	0	1	0	1	0	3	3	3	0	0	0	0
r a h v a s	r a h v a s B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	3	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0
r ui s k e	r ui s k e B	1	Insert [B] at -1	2	0	2	1	1	0	2	1	1	0	1	0	1	1	0	2	1	1	0	2	2	1	1	3	2	0	2	1	1	0	2	2	1	0	1	0	1	1	0	2	1	1	0	2	2	1	1	3	0	0	0	0
k o n t u	k o n t u B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	2	0	1	1	2	1	1	0	0	0	0	0	1	1	1	2	0	0	0	0	0	0	0	3	2	0	1	1	2	1	1	0	0	0	0	0	1	1	1	2	0	0	0	0
h ei j a	h ei j a B	1	Insert [B] at -1	2	0	2	1	1	0	2	1	0	1	0	1	0	0	0	3	1	2	1	2	1	2	1	2	2	0	2	1	1	0	2	2	0	1	0	1	0	0	0	3	1	2	1	2	1	2	1	2	0	0	0	0
p a n t a	p a n t a B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	3	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0
k uu l a	k uu l a B	1	Insert [B] at -1	0	0	0	0	0	0	0	3	2	1	2	1	2	2	0	1	0	1	1	0	2	1	0	2	0	0	0	0	0	0	0	4	2	1	2	1	2	2	0	1	0	1	1	0	2	1	0	2	0	0	0	0
t u l kk a	t u l kk a B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	3	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0
p o pp i	p o pp i B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	2	1	0	1	1	0	0	1	2	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	2	0	0	0	0
t uo pp i	t uo pp i B	1	Insert [B] at -1	1	0	1	1	0	0	1	2	2	0	1	1	2	1	1	1	1	0	0	1	2	1	1	3	1	0	1	1	0	0	1	3	2	0	1	1	2	1	1	1	1	0	0	1	2	1	1	3	0	0	0	0
k ai h i	k ai h i B	1	Insert [B] at -1	2	0	2	2	0	0	2	1	0	1	0	1	0	0	0	3	2	1	1	2	2	1	0	2	2	0	2	2	0	0	2	2	0	1	0	1	0	0	0	3	2	1	1	2	2	1	0	2	0	0	0	0
t a t s k a	t a t s k a B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	3	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0
p u r o	p u r o B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	2	0	1	1	2	1	1	0	0	0	0	0	1	1	1	2	0	0	0	0	0	0	0	3	2	0	1	1	2	1	1	0	0	0	0	0	1	1	1	2	0	0	0	0
n ai s uu s	n ai s uu s B	1	Insert [B] at -1	1	0	1	1	0	0	1	3	2	1	2	1	2	2	0	2	1	1	1	1	3	1	0	3	1	0	1	1	0	0	1	4	2	1	2	1	2	2	0	2	1	1	1	1	3	1	0	3	0	0	0	0
l ei m au s	l ei m au s B	1	Insert [B] at -1	2	0	2	1	1	0	2	2	1	1	1	1	1	1	0	3	1	2	1	2	2	2	1	3	2	0	2	1	1	0	2	3	1	1	1	1	1	1	0	3	1	2	1	2	2	2	1	3	0	0	0	0
k a ff e	k a ff e B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	0	1	0	1	0	0	0	2	0	2	1	1	0	2	1	1	1	0	1	0	1	0	1	2	0	1	0	1	0	0	0	2	0	2	1	1	0	2	1	1	0	0	0	0
p a kk a	p a kk a B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	3	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0
v i k l o	v i k l o B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	2	1	0	1	1	0	0	1	2	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	2	0	0	0	0
p i p o	p i p o B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	2	1	0	1	1	0	0	1	2	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	2	0	0	0	0
l a s k u	l a s k u B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	3	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0
k a l kk i s	k a l kk i s B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	2	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	0	0	0	0
k u s i	k u s i B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	0	0	1	2	0	0	2	1	0	1	1	0	0	1	2	1	0	1	0	1	1	0	1	1	0	0	1	2	0	0	2	0	0	0	0
m u rr o s	m u rr o s B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	2	0	1	1	2	1	1	0	0	0	0	0	1	1	1	2	0	0	0	0	0	0	0	3	2	0	1	1	2	1	1	0	0	0	0	0	1	1	1	2	0	0	0	0
s a m p o	s a m p o B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	1	1	0	2	1	0	1	1	0	1	1	0	0	2	1	1	0	0	0	0	0	0	0	3	1	1	0	2	1	0	1	1	0	1	1	0	0	2	1	1	0	0	0	0
r a p u	r a p u B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	3	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0
k uo r e	k uo r e B	1	Insert [B] at -1	1	0	1	0	1	0	1	2	2	0	1	1	2	1	1	1	0	1	0	1	1	2	2	3	1	0	1	0	1	0	1	3	2	0	1	1	2	1	1	1	0	1	0	1	1	2	2	3	0	0	0	0
r e s p a	r e s p a B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	0	1	0	1	0	0	0	2	0	2	1	1	0	2	1	1	1	0	1	0	1	0	1	2	0	1	0	1	0	0	0	2	0	2	1	1	0	2	1	1	0	0	0	0
k o m eu s	k o m eu s B	1	Insert [B] at -1	1	0	1	0	1	0	1	2	2	0	1	1	2	1	1	1	0	1	0	1	1	2	2	3	1	0	1	0	1	0	1	3	2	0	1	1	2	1	1	1	0	1	0	1	1	2	2	3	0	0	0	0
a h t o	a h t o B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	1	1	0	2	1	0	1	1	0	1	1	0	0	2	1	1	0	0	0	0	0	0	0	3	1	1	0	2	1	0	1	1	0	1	1	0	0	2	1	1	0	0	0	0
p a t e r	p a t e r B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	0	1	0	1	0	0	0	2	0	2	1	1	0	2	1	1	1	0	1	0	1	0	1	2	0	1	0	1	0	0	0	2	0	2	1	1	0	2	1	1	0	0	0	0
m u r h e	m u r h e B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	1	0	1	0	1	1	0	1	0	1	0	1	1	1	1	2	1	0	1	0	1	0	1	2	1	0	1	0	1	1	0	1	0	1	0	1	1	1	1	2	0	0	0	0
s uu r a	s uu r a B	1	Insert [B] at -1	0	0	0	0	0	0	0	3	2	1	2	1	2	2	0	1	0	1	1	0	2	1	0	2	0	0	0	0	0	0	0	4	2	1	2	1	2	2	0	1	0	1	1	0	2	1	0	2	0	0	0	0
p i h t a	p i h t a B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	2	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	0	0	0	0
s u mm a	s u mm a B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	3	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0
k i r o	k i r o B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	2	1	0	1	1	0	0	1	2	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	2	0	0	0	0
m uu t o s	m uu t o s B	1	Insert [B] at -1	0	0	0	0	0	0	0	3	3	0	2	1	3	2	1	0	0	0	0	0	2	1	1	3	0	0	0	0	0	0	0	4	3	0	2	1	3	2	1	0	0	0	0	0	2	1	1	3	0	0	0	0
r e ng a s	r e ng a s B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	0	1	0	1	0	0	0	2	0	2	1	1	0	2	1	1	1	0	1	0	1	0	1	2	0	1	0	1	0	0	0	2	0	2	1	1	0	2	1	1	0	0	0	0
s i l au s	s i l au s B	1	Insert [B] at -1	1	0	1	1	0	0	1	2	1	1	1	1	1	1	0	2	1	1	1	1	2	1	0	2	1	0	1	1	0	0	1	3	1	1	1	1	1	1	0	2	1	1	1	1	2	1	0	2	0	0	0	0
t a l k a	t a l k a B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	3	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0
k i n kk u	k i n kk u B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	0	0	1	2	0	0	2	1	0	1	1	0	0	1	2	1	0	1	0	1	1	0	1	1	0	0	1	2	0	0	2	0	0	0	0
p i ss a	p i ss a B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	2	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	0	0	0	0
k oi r a s	k oi r a s B	1	Insert [B] at -1	1	0	1	1	0	0	1	2	1	1	0	2	1	0	1	2	1	1	1	1	1	2	1	2	1	0	1	1	0	0	1	3	1	1	0	2	1	0	1	2	1	1	1	1	1	2	1	2	0	0	0	0
f a r kk u	f a r kk u B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	3	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0
t r o ll i	t r o ll i B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	2	1	0	1	1	0	0	1	2	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	2	0	0	0	0
s i j au s	s i j au s B	1	Insert [B] at -1	1	0	1	1	0	0	1	2	1	1	1	1	1	1	0	2	1	1	1	1	2	1	0	2	1	0	1	1	0	0	1	3	1	1	1	1	1	1	0	2	1	1	1	1	2	1	0	2	0	0	0	0
h o r n a	h o r n a B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	1	1	0	2	1	0	1	1	0	1	1	0	0	2	1	1	0	0	0	0	0	0	0	3	1	1	0	2	1	0	1	1	0	1	1	0	0	2	1	1	0	0	0	0
k r a ss i	k r a ss i B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	2	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	0	0	0	0
p o t k u	p o t k u B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	2	0	1	1	2	1	1	0	0	0	0	0	1	1	1	2	0	0	0	0	0	0	0	3	2	0	1	1	2	1	1	0	0	0	0	0	1	1	1	2	0	0	0	0
s ei s au s	s ei s au s B	1	Insert [B] at -1	2	0	2	1	1	0	2	2	1	1	1	1	1	1	0	3	1	2	1	2	2	2	1	3	2	0	2	1	1	0	2	3	1	1	1	1	1	1	0	3	1	2	1	2	2	2	1	3	0	0	0	0
p o n tt i	p o n tt i B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	2	1	0	1	1	0	0	1	2	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	2	0	0	0	0
r a k i	r a k i B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	2	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	0	0	0	0
s t e mm a	s t e mm a B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	0	1	0	1	0	0	0	2	0	2	1	1	0	2	1	1	1	0	1	0	1	0	1	2	0	1	0	1	0	0	0	2	0	2	1	1	0	2	1	1	0	0	0	0
m u t u	m u t u B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	2	0	2	0	2	2	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	3	2	0	2	0	2	2	0	0	0	0	0	0	2	0	0	2	0	0	0	0
h a r t au s	h a r t au s B	1	Insert [B] at -1	0	0	0	0	0	0	0	3	1	2	1	2	1	1	0	2	0	2	2	0	1	2	0	1	0	0	0	0	0	0	0	4	1	2	1	2	1	1	0	2	0	2	2	0	1	2	0	1	0	0	0	0
k a ff e	k a ff e B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	0	1	0	1	0	0	0	2	0	2	1	1	0	2	1	1	1	0	1	0	1	0	1	2	0	1	0	1	0	0	0	2	0	2	1	1	0	2	1	1	0	0	0	0
s k a b a	s k a b a B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	3	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0
k o j e	k o j e B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	1	0	0	1	1	0	1	1	0	1	0	1	0	2	2	2	1	0	1	0	1	0	1	2	1	0	0	1	1	0	1	1	0	1	0	1	0	2	2	2	0	0	0	0
t ii s t ai	t ii s t ai B	1	Insert [B] at -1	3	0	3	3	0	0	3	1	0	1	0	1	0	0	0	4	3	1	1	3	3	1	0	3	3	0	3	3	0	0	3	2	0	1	0	1	0	0	0	4	3	1	1	3	3	1	0	3	0	0	0	0
h ui pp u	h ui pp u B	1	Insert [B] at -1	1	0	1	1	0	0	1	2	2	0	2	0	2	2	0	1	1	0	0	1	3	0	0	3	1	0	1	1	0	0	1	3	2	0	2	0	2	2	0	1	1	0	0	1	3	0	0	3	0	0	0	0
p aa h t o	p aa h t o B	1	Insert [B] at -1	0	0	0	0	0	0	0	3	1	2	0	3	1	0	1	2	0	2	2	0	0	3	1	1	0	0	0	0	0	0	0	4	1	2	0	3	1	0	1	2	0	2	2	0	0	3	1	1	0	0	0	0
m ai ss i	m ai ss i B	1	Insert [B] at -1	2	0	2	2	0	0	2	1	0	1	0	1	0	0	0	3	2	1	1	2	2	1	0	2	2	0	2	2	0	0	2	2	0	1	0	1	0	0	0	3	2	1	1	2	2	1	0	2	0	0	0	0
a s k i	a s k i B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	2	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	0	0	0	0
k ie kk o	k ie kk o B	1	Insert [B] at -1	2	0	2	1	1	0	2	1	1	0	0	1	1	0	1	2	1	1	0	2	1	2	2	3	2	0	2	1	1	0	2	2	1	0	0	1	1	0	1	2	1	1	0	2	1	2	2	3	0	0	0	0
n a s u	n a s u B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	3	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0
d oo m i	d oo m i B	1	Insert [B] at -1	1	0	1	1	0	0	1	2	2	0	0	2	2	0	2	1	1	0	0	1	1	2	2	3	1	0	1	1	0	0	1	3	2	0	0	2	2	0	2	1	1	0	0	1	1	2	2	3	0	0	0	0
h ui j au s	h ui j au s B	1	Insert [B] at -1	1	0	1	1	0	0	1	3	2	1	2	1	2	2	0	2	1	1	1	1	3	1	0	3	1	0	1	1	0	0	1	4	2	1	2	1	2	2	0	2	1	1	1	1	3	1	0	3	0	0	0	0
h i ll o	h i ll o B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	2	1	0	1	1	0	0	1	2	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	2	0	0	0	0
v a r s t a	v a r s t a B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	3	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0
v e l k a	v e l k a B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	0	1	0	1	0	0	0	2	0	2	1	1	0	2	1	1	1	0	1	0	1	0	1	2	0	1	0	1	0	0	0	2	0	2	1	1	0	2	1	1	0	0	0	0
l uo nn e	l uo nn e B	1	Insert [B] at -1	1	0	1	0	1	0	1	2	2	0	1	1	2	1	1	1	0	1	0	1	1	2	2	3	1	0	1	0	1	0	1	3	2	0	1	1	2	1	1	1	0	1	0	1	1	2	2	3	0	0	0	0
l u k u	l u k u B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	2	0	2	0	2	2	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	3	2	0	2	0	2	2	0	0	0	0	0	0	2	0	0	2	0	0	0	0
k a kk u	k a kk u B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	3	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0
s i r kk u	s i r kk u B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	0	0	1	2	0	0	2	1	0	1	1	0	0	1	2	1	0	1	0	1	1	0	1	1	0	0	1	2	0	0	2	0	0	0	0
k a r h i	k a r h i B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	2	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	0	0	0	0
t u p i	t u p i B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	0	0	1	2	0	0	2	1	0	1	1	0	0	1	2	1	0	1	0	1	1	0	1	1	0	0	1	2	0	0	2	0	0	0	0
k a ll a s	k a ll a s B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	3	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0
m uo v i	m uo v i B	1	Insert [B] at -1	1	0	1	1	0	0	1	2	2	0	1	1	2	1	1	1	1	0	0	1	2	1	1	3	1	0	1	1	0	0	1	3	2	0	1	1	2	1	1	1	1	0	0	1	2	1	1	3	0	0	0	0
k a t r a s	k a t r a s B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	3	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0
p a ll a s	p a ll a s B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	3	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0
s oi k eu s	s oi k eu s B	1	Insert [B] at -1	2	0	2	1	1	0	2	2	2	0	1	1	2	1	1	2	1	1	0	2	2	2	2	4	2	0	2	1	1	0	2	3	2	0	1	1	2	1	1	2	1	1	0	2	2	2	2	4	0	0	0	0
g r aa f i	g r aa f i B	1	Insert [B] at -1	1	0	1	1	0	0	1	2	0	2	0	2	0	0	0	3	1	2	2	1	1	2	0	1	1	0	1	1	0	0	1	3	0	2	0	2	0	0	0	3	1	2	2	1	1	2	0	1	0	0	0	0
f o t o	f o t o B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	2	0	0	2	2	0	2	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	3	2	0	0	2	2	0	2	0	0	0	0	0	0	2	2	2	0	0	0	0
s a mm a l	s a mm a l B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	3	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0
u s m a	u s m a B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	3	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0
t a l v i	t a l v i B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	2	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	0	0	0	0
k a nn e	k a nn e B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	0	1	0	1	0	0	0	2	0	2	1	1	0	2	1	1	1	0	1	0	1	0	1	2	0	1	0	1	0	0	0	2	0	2	1	1	0	2	1	1	0	0	0	0
a n e	a n e B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	0	1	0	1	0	0	0	2	0	2	1	1	0	2	1	1	1	0	1	0	1	0	1	2	0	1	0	1	0	0	0	2	0	2	1	1	0	2	1	1	0	0	0	0
t u r a	t u r a B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	3	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0
k o m a	k o m a B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	1	1	0	2	1	0	1	1	0	1	1	0	0	2	1	1	0	0	0	0	0	0	0	3	1	1	0	2	1	0	1	1	0	1	1	0	0	2	1	1	0	0	0	0
k u n a	k u n a B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	3	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0
l i n t u	l i n t u B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	0	0	1	2	0	0	2	1	0	1	1	0	0	1	2	1	0	1	0	1	1	0	1	1	0	0	1	2	0	0	2	0	0	0	0
h o h d e	h o h d e B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	1	0	0	1	1	0	1	1	0	1	0	1	0	2	2	2	1	0	1	0	1	0	1	2	1	0	0	1	1	0	1	1	0	1	0	1	0	2	2	2	0	0	0	0
l e mm a	l e mm a B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	0	1	0	1	0	0	0	2	0	2	1	1	0	2	1	1	1	0	1	0	1	0	1	2	0	1	0	1	0	0	0	2	0	2	1	1	0	2	1	1	0	0	0	0
v e r h o	v e r h o B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	1	0	0	1	1	0	1	1	0	1	0	1	0	2	2	2	1	0	1	0	1	0	1	2	1	0	0	1	1	0	1	1	0	1	0	1	0	2	2	2	0	0	0	0
r ai kk au s	r ai kk au s B	1	Insert [B] at -1	1	0	1	1	0	0	1	3	1	2	1	2	1	1	0	3	1	2	2	1	2	2	0	2	1	0	1	1	0	0	1	4	1	2	1	2	1	1	0	3	1	2	2	1	2	2	0	2	0	0	0	0
t a b u	t a b u B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	3	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0
v i l j a	v i l j a B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	2	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	0	0	0	0
r a ll i	r a ll i B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	2	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	0	0	0	0
k u r u	k u r u B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	2	0	2	0	2	2	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	3	2	0	2	0	2	2	0	0	0	0	0	0	2	0	0	2	0	0	0	0
